"","Statute","Type","Degree","Desc"
"147","20-20","L","0","VEHICLE/UNAUTHORIZED USE/MUNICIPAL ORDINANCE"
"148","20-82","L","0","DISTRIBUTING/DEPOSITING ON PREMISES/MG ORD"
"149","20-83","L","0","POSTING ON BUILDING OR STRUCTURE/MG ORD"
"150","21-3","C","0","PROPERTY/MALICIOUS DESTRUCTION/COUNTY ORDINANCE"
"151","21-3","L","0","PROPERTY/MALICIOUS DESTRUCTION/MUNICIPAL ORDINANCE"
"152","21-51","C","0","MOTOR VEH PARTS DEALER/WRECKER/LICENSE VIOLATION"
"153","21-118","C","0","THEFT OF PLANTS/FRUITS/TRESPASS"
"154","21-133","C","0","BINGO/OWNER/LESSOR PERMIT VIOLATION/COUNTY ORD"
"155","21-136","C","0","BINGO/TAGS REQUIRED NAMING CHARITY/COUNTY ORD"
"156","21-14","C","0","CONCEALED WEAPON/CARRY/COUNTY ORDINANCE"
"157","21-17","C","0","WEAPON/POSN BY FELON/INTOXICATED PERSON/COUNTY ORD"
"158","21-18","C","0","WEAPON/DANGEROUS HANDLING OF/COUNTY ORDINANCE"
"159","21-18.1","C","0","FIREARM/DISCHARGE OVER PRIVATE PROPERTY/COUNTY ORD"
"160","21-20.14","C","0","FIREARM/SELL/DEL/PERSON UNDER INFLUENCE/COUNTY ORD"
"161","21-20(C)","C","0","HANDGUN/72HR WATING PERIOD VIOLATION/COUNTY ORD"
"162","21-20(D)","C","0","HANDGUN/FICTITIOUS NAME ON REGISTRATION/COUNTY ORD"
"163","21-20.18","C","0","FIVE-DAY WAITING PERIOD FIREARMS SALES"
"164","21-207","C","0","CURFEW/PARENTAL RESPONSIBILITY VIOL/COUNTY ORD"
"165","21-21","C","0","ALCOHOLIC BEV/ESTABLISHMENT/SOLICT DRINKS/COUNTY O"
"166","21-21","L","0","ANIMAL ORDINANCE VIOLATION/MUNICIPAL ORDINANCE"
"167","21-21(2)(B)","C","0","ALCOHOL/OPEN HOUSE/PARENTAL RESPONSIBILITY/CTY ORD"
"168","21-21.3","C","0","DRUG PARAPHERNALIA/SALE PROHIBITED/COUNTY ORDINANC"
"169","21-210(A)","C","0","CURFEW/PARENTAL VIOLATION/1ST OFF/COUNTY ORDINANCE"
"170","21-24.1","C","0","FALSE STATEMENTS/RECEIVE BENEFITS/COUNTY ORDINANCE"
"171","21-24(A)","C","0","FALSE ALARM/MAKE/COUNTY ORDINANCE"
"172","21-24(B)","C","0","FALSE REPORT TO POLICE/MAKE/COUNTY ORDINANCE"
"173","21-26","C","0","OBSTRUCT POLICE OFFICER, FIREFIGHTER/COUNTY ORD"
"174","21-26(A)(1)","C","0","RESIST/OBSTRUCT OFFC/FRFIGHTER/COUNTY ORDINANCE"
"175","21-26(A)(2)","C","0","OBSTRUCT/CIVIL/CRIM PROCESS/COUNTY ORDINANCE"
"176","21-26(A)(3)","C","0","OBSTRUCTING JUSTICE/FALSE INFORMATION/COUNTY ORDIN"
"177","21-27.1","C","0","VEND/SELL MERCHANDISE/500 FT OF SCHOOL/COUNTY ORD"
"178","21-27.2","C","0","VEND/SELL MERCHANDISE/500 FT OF PARK/COUNTY ORD"
"179","21-28","C","0","NOISE/PRODUCE LOUD, EXCESSIVE/COUNTY ORDINANCE"
"180","21-281","C","0","SEX OFFENDER/RES VIOL/2500FT SCH/PRK/VIC <16/CTY"
"181","21-284","C","0","SEX OFNDR/PRED/PRESENT IN PARK/CHILD CARE FACILITY"
"182","21-29.1(A)","C","0","UNLAWFUL ADVERTERTISE/DISPLAY MERCH/COUNTY PROPERT"
"183","21-29(B)","C","0","PAWNSHOP/RECORDS TO BE KEPT/COUNTY ORDINANCE"
"184","21-30(1)","C","0","PROPERTY/MALICIOUS DESTRUCTION/COUNTY ORDINANCE"
"185","21-30.01","C","0","GRAFFITI/PROHIBITED/COUNTY ORDINANCE"
"186","21-30.01(G)","C","0","GRAFFITI/SPRAY PAINT/MARKERS/COUNTY ORDINANCE"
"187","21-31.1(A)","C","0","DISORDERLY CONDUCT/COUNTY ORDINANCE"
"188","21-31.1(B)","C","0","LOITERING/OBSTRUCT SIDEWALK/STREET/COUNTY ORD"
"189","21-31(2)(B)(1)","C","0","ALCOHOL/CONSUME NEAR STORE SELLING ALCOHOL/CNTY O"
"190","21-31.2(B)(2)","C","0","ALCOHOL/OPEN CONTAINER/POSN NEAR STOREL/CNTY ORD"
"191","21-31.2(B)(3)","C","0","ALCOHOL/FAIL TO POST CONSUMPTION RULES/COUNTY ORD"
"192","21-31(2)(D)","C","0","ALCOHOLIC BEVERAGE VIOLATION/COUNTY ORDINANCE"
"193","21-31.4(B)","C","0","PANHANDLING/AGGRESSIVE/OBSTRUCTIVE/COUNTY ORD"
"194","21-31(B)","C","0","LOITERING AND PROWLING/COUNTY ORDINANCE"
"195","21-33","C","0","DRAG RACING/AUTO/MOTORCYCLE/ON PUBLIC ROADS"
"196","21-35(D)","C","0","CHEMICAL SUBSTANCE/INTOXICATN BY INHALING/CNTY ORD"
"197","21-36.1","C","0","WINDOW WASHING/STREET CORNER/COUNTY ORDINANCE"
"198","21-36(A)","C","0","SOLICITATION OF BUSINESS/SIDEWALK/COUNTY ORDINANCE"
"199","21-38(A)","C","0","SYRINGE/NEEDLE/SELL W/O PRESCRIPTION/COUNTY ORD"
"200","21-42","C","0","OBSCENE MATERIAL/PERFORMANCE VIOLATION/COUNTY ORD"
"201","21-51","C","0","VEHICLE BUSINESS/LICENSING VIOLATION"
"202","21-56","C","0","VEHICLE RECORDS/FAIL TO MAINTAIN/COUNTY ORDINANCE"
"203","21-57","C","0","VEHICLE/DESTROY W/O TITLE/COUNTY ORDINANCE"
"204","21-81","C","0","COUNTY ORDINANCE/ADOPTION OF STATE LAW"
"205","21-81(A)","C","0","PROSTITUTION/COUNTY ORDINANCE"
"206","21-81(A)","C","0","INDECENT EXPOSURE/COUNTY ORDINANCE"
"207","21-81(A)","C","0","ALCOHOLIC BEVERAGE/POSN BY/SALE TO PERSON <21"
"208","21-81(A)","C","0","PETIT LARCENY, THEFT/COUNTY ORDINANCE"
"209","21-81(A)","C","0","ASSAULT AND BATTERY/COUNTY ORDINANCE"
"210","21-81(A)","C","0","MARIJUANA/POSSESSION/COUNTY ORDINANCE"
"211","21-81(A)","C","0","TRESPASS/COUNTY ORDINANCE"
"212","21-81(A)","C","0","BOATING UNDER THE INFLUENCE/COUNTY ORDINANCE"
"213","21-81(A)","C","0","RESISTING W/O VIOLENCE/ADOPT STATE STAT/COUNTY ORD"
"214","21-81(A)","C","0","DRUGS/POSSESSION OF HARMFUL/COUNTY ORDINANCE"
"215","21-81(A)","C","0","NARCOTIC IMPLEMENTS/POSN OF W/O RESIDUE/COUNTY ORD"
"216","21-81(A)","C","0","LEWD AND LASCIVIOUS BEHAVIOR/COUNTY ORDINANCE"
"217","21-81(A)","C","0","NARCOTIC IMPLEMENTS/POSN OF W/RESIDUE/COUNTY ORD"
"218","21-81(A)","C","0","SUMMONS/FAILURE TO SIGN/COUNTY ORDINANCE"
"219","21-81(A)","C","0","TOBACCO/SELL TO MINOR"
"220","22-22","L","0","SANITARY NUISANCES/MUNICIPAL ORDINANCE"
"221","23-23","L","0","OBSTRUCT PUBLIC STREET, HIGHWAY, ROAD, SIDEWALK"
"222","23-327(35)","L","0","BOAT/OPERATE WHILE UNDER INFL OF ALCOHOL/MUN ORD"
"223","23-50","L","0","INDECENT EXPOSURE/MUNICIPAL ORDINANCE"
"224","24-80","L","0","MOTOR SCOOTER/ TERRAIN/DIRT BK/GO-PD PROHIB/MG ORD"
"225","24-126","L","0","TOWING PERMIT REQD/APPLICATION/MG ORD"
"226","24-1","C","0","ENVIRONMENTAL PROTECTION/GEN VIOLATION/COUNTY ORD"
"227","24.1055(1)","M","2","LOTTERY-PLAYING PERSON UNDER 18 YOA PURCHASE LOTTE"
"228","24.1055(2)","M","1","LOTTERY-OPERATING SELL TICKETS BY MACHINE WITHOUT"
"229","24-11(9)(A)","C","0","POLLUTION/WATER/PROHIBITIONS AGAINST/COUNTY ORD"
"230","24.1160","M","1","LOTTERY-PLAYING UNLAWFUL PURCHASE OF LOTTERY TICKE"
"231","24.1170","M","1","LOTTERY-OPERATING UNLAWFUL SALE OF LOTTERY TICKETS"
"232","24.118(1)","M","2","LOTTERY EXTEND CREDIT TO PURCHASE LOTTERY TICKET"
"233","24.118(2)","M","1","LOTTERY TRANSFER OFFER RIGHT TO CLAIM LOTTERY PRIZ"
"234","24.118(3)","F","3","LOTTERY/COUNTERFEIT/ALTERED TICKET"
"235","24.118(3)(D)","F","3","FRAUD-FALSE STATEMENT FILE FALSE CLAIM FOR PAYMENT"
"236","24.118(4)","F","1","LOTTERY/BREACH OF CONFIDENTIALITY"
"237","24.118(5)(A)","M","1","FRAUD UNLAWFUL REPRESENTATION OF LOTTERY PROGRAM"
"238","24.118(5)(B)","M","1","FRAUD UNAUTHORIZED USE TERMS OF FLORIDA ST LOTTERY"
"239","24-12.3(9)","C","0","ENVIRONMENTAL PROTECTION VIOLATION/COUNTY ORDINANC"
"240","24-157","L","0","NONCONSENT TOWING VIOLATION/MUNICIPAL ORDINANCE"
"241","24-18(4)(D)","C","0","LIQUID WASTE FACILITY/PERMIT VIOLATION/COUNTY"
"242","24-18(A)(4)","C","0","OPERATING PERMITS/WATER TREATMENT FACILITY"
"243","24-22","L","0","ADHERENCE TO RED LIGHT TRAFF CONTROL SIGNAL MG ORD"
"244","24-24","L","0","GAMBLING VIOLATION/MUNICIPAL ORDINANCE"
"245","24-25","C","0","ENVIRONMENTAL PROTECTION VIOLATION/COUNTY"
"246","24-29","C","0","ENFORCEMENT CODE/VIOLATION OF"
"247","24-35.1(4)","C","0","ENVIRONMENTAL PROTECTION/OPERATING PERMIT"
"248","403.413(5)","C","0","ENVIRONMENTAL PROTECTION/SANITARY SEWER/WASTE"
"249","24-48(1)","C","0","SPECIFIC WORK PERMIT/NATURAL/ENVRNMNTL RES/STNDRDS"
"250","25-2.20","C","0","BREACH OF SECURITY/MIAMI INTL AIRPORT/ID BADGE"
"251","25-2.20(A)","C","0","BREACH OF SECURITY/MIAMI INTL AIRPORT/ID BADGE"
"252","25-2.25","C","0","JOSTLING/COUNTY ORDINANCE"
"253","25-2.4","C","0","UNLAW/ENTRY/RESTRICTED AREAS/MIAMI INTERNATION AIR"
"254","25-9.3","C","0","MOTOR VEHICLE/FAILURE TO YIELD TO AIRCRAFT"
"255","25-2.19","C","0","AVIATION DEPT AUTHORIZATION/FORGERY/COUNTERFEIT"
"256","25-2(21)","C","0","BREACH OF SECURITY/MIAMI INTL AIRPORT/COUNTY ORD"
"257","25-2.4","C","0","AIRPORT/ID VIOLATION/COUNTY ORDINANCE"
"258","25-2.15","C","0","AIRPORT/ILLEGAL WEAPONS/COUNTY ORDINANCE"
"259","25-2.21","C","0","AIRPORT/TAMPER/INTERFERE/SECURITY DEVICE/CNTY ORD"
"260","25-25","L","0","PETIT LARCENY, THEFT/MUNICIPAL ORDINANCE"
"261","26-1","C","0","PARKS VIOLATION/ARRESTABLE/COUNTY ORDINANCE"
"262","26-1","C","0","PARKS VIOLATIONS/COUNTY ORDINANCE"
"263","26A-2(A)","C","0","SANITARY NUISANCE VIOLATION/COUNTY ORDINANCE"
"264","26-1 RULE 11","C","0","PARKS/BOAT/ANCHOR,MOOR,TIE UP W/I 200FT OF SHORE"
"265","26-1 RULE 11","N","0","BOAT/ANCHOR, MOOR, TIE UP WITHIN 200 FT OF SHORE"
"266","26-1 RULE 27(B)","C","0","PARKS/GLASS CONTAINER ON BEACH PROHIBITED/CTY ORD"
"267","26-1 RULE 30","C","0","PARKS/ADVERTISING/PUBLICITY/SIGNS/COUNTY ORDINANCE"
"268","26-26","L","0","ASSAULT OR BATTERY/MUNICIPAL ORDINANCE"
"269","26-38(F)","C","0","PARK/CHILD EVENT WORKERS/BACKGROUND CHECK VIOLTN"
"270","26-38 (F)(4)","C","0","PARK/CHILD EVENT WORKER/BACKGROUND CHECK VIOLATION"
"271","26-39(F)","C","0","PARKS/CRIMINAL BACKGRND CHECK/EMPLOYEES/VOLNTRS"
"272","27-27","L","0","LOITERING/MUNICIPAL ORDINANCE"
"273","27.52(7)(C)","M","1","INDIGENT STATUS/FALSE INFORMATION"
"274","28A-10(D)","C","0","SEAPORT/WATCHMEN/LOCATION DIVULGED/COUNTY VIOLATIO"
"275","28A-12.1","C","0","SEAPORT/HINDER/IMPEDE/PEDESTRIANS/VEH/COUNTY VIOLA"
"276","28A-13.10(A)","C","0","SPRT/DRNK INTOX LIQ OTHER THAN DESIG AREA/CNTY VIO"
"277","28A-13.10(B)","C","0","SPRT/OPER MTR VEH/WHILE UND INFL LIQ/DRUGS/CNTY VI"
"278","28A-13.11","C","0","SPRT/PRESC/DISP/ADM/OR W/INTENT/CNTRL SUB/CNTY VIO"
"279","28A-13.12(A)","C","0","SPRT/DOM ANIMAL/CRUISE TERM BUILDING/COUNTY VIOLAT"
"280","28A-13.12(B)","C","0","SPRT/DOM ANIML CNTRL/WILD ANIML W/O PERMIT/CNTY VI"
"281","28A-13.12(C)","C","0","SPRT/WILD ANIML/NOT CONFINED/ENTER PORT/CNTY VIOLA"
"282","28A-13.12(D)","C","0","SPRT/HUNT/PURSUE/TRP/CTCH/KILL ANY ANIMAL/CNTY VIO"
"283","28A-13.12(E)","C","0","SPRT/RIDE HORSEBACK W/O PRIOR DEPT AUTH/CNTY VIOLA"
"284","28A-13.12(F)","C","0","SPRT/ANIML ALLOWED TO URINATE/DEFECATE/CNTY VIOLAT"
"285","28A-13.12(G)","C","0","SPRT/ENCRGE CONGREGATION/BIRDS ETC/VIC/PORT/CNTY V"
"286","28A-13.14","C","0","SPRT/THREAT/FALSE REPORT/SHIPPING/PORT OPER/CNTY V"
"287","28A-13.15","C","0","SPRT/FORGED/CNTRFEIT/ALTER PASS/ID/SIGN ETC/CNTY V"
"288","28A-13.1(A)","C","0","SEAPORT/DIST/EXH/COMM HANDBILLS ETC/PORT PROP/CNTY"
"289","28A-13.1(B)","C","0","SEAPORT/THROW/HNDBILLS ETC/PORT ROADS ETC/CNTY VIO"
"290","28A-13.1(C)","C","0","SEAPORT/NONCOMM HANDBILL DIST/DEPT PROC/CNTY VIOLA"
"291","28A-13.2(A)","C","0","SEAPORT/SOLICITATION/SPEECHMAKING REQ/COUNTY VIOLA"
"292","28A-13.2(G)","C","0","SEAPORT/SEEKING DONATION/DELAY/COERCE/PERSON/CNTY"
